neighbourhood_group,neighbourhood
Bolton,Bolton District
Bury,Bury District
Manchester,Ancoats and Clayton
Manchester,Ardwick
Manchester,Baguley
Manchester,Bradford
Manchester,Brooklands
Manchester,Burnage
Manchester,Charlestown
Manchester,Cheetham
Manchester,Chorlton
Manchester,Chorlton Park
Manchester,City Centre
Manchester,Crumpsall
Manchester,Didsbury East
Manchester,Didsbury West
Manchester,Fallowfield
Manchester,Gorton North
Manchester,Gorton South
Manchester,Harpurhey
Manchester,Higher Blackley
Manchester,Hulme
Manchester,Levenshulme
Manchester,Longsight
Manchester,Miles Platting and Newton Heath
Manchester,Moss Side
Manchester,Moston
Manchester,Northenden
Manchester,Old Moat
Manchester,Rusholme
Manchester,Sharston
Manchester,Whalley Range
Manchester,Withington
Manchester,Woodhouse Park
Oldham,Oldham District
Rochdale,Rochdale District
Salford,Salford District
Stockport,Stockport District
Tameside,Tameside District
Trafford,Trafford District
Wigan,Wigan District
